page,headword_khowar,transliteration,part_of_speech,english_gloss,example_no,example_khowar,example_english,
1,ابَاد,abád,adj,"settled, inhabited",1,ہیس دورو اباد اریر۔,He got the house settled and functioning properly.,
1,اپَاک,apák,n,mouth; leather pocket of slingshot which holds stone,1,ڈقو اپاک ݯھموران,The boy's mouth is hurting.,
1,اپَاک,apák,n,mouth; leather pocket of slingshot which holds stone,2,ای اپاک  لو دی نو پراے۔,He/she didn't even say a single sentence.,
1,اپَاک,apák,n,mouth; leather pocket of slingshot which holds stone,3,تہ اپاک زوالو۔,Your mouth is sweet.,
1,اتروݯیک,utruc̣ík,vi,"to tear, rip",1,مہ پیٹیک ا ترو ݯی شیر۔,My scarf is torn.,
1,اتیک,utík,vi,"to enter, go into",1,ہیس رغیشٹی دوری اتیتاے۔,He/She went into the house early.,
1,اتیک,utík,vi,"to enter, go into",2,دکانی ݯھوغ اتیتاے۔,A thief broke into the shop.,
1,اچوغن,učóγun,adj,"liquid (flowing, rather than solid or very viscous)",1,اُچوغُن شیاق کورے۔,Make thin mud.,
1,اچوغن,učóγun,adj,"liquid (flowing, rather than solid or very viscous)",2,"اچوغنیو مَتے دیت، ݱاقیو تو پِیے۔",Give me the thin liquid part; you drink the thick part.,
1,اڅ,uts,n,spring,1,سونوغرا اُڅ بو شینی۔,There are many springs in Sonoghor.,
1,ادراخ,adráx,n,"hillside, mountain slope which has usable resources",1,پایان گنی اَدراختو بیمان۔,I am taking the goats to the hillside.,
1,ادَینا,adiná,n,Friday,1,ادینا دوݰ اوشوے۔,Friday was yesterday.,
1,ارَقا,arqá,n,upper back,1, مہ ارقا ݯھموران۔ ,My back is hurting.,
1,ارَقا,arqá,n,upper back,2,ارقا کوچھاوے۔,Scratch my back.,
1,اڑَوک,aɫók,n,pumpkin,1,اڑوک شخ نو کوسانا؟,Aren't you going to make pumpkin curry?,
2,اڑَی,áɫi,n,duck,1,اڑیو خون اڑیو گیردانہ۔,The murder of a duck is its own fault.,
2,اڑَی,áɫi,n,duck,2,ہیہ سال اڑی نو ہانی۔,This year the ducks haven't come.,
2,اژَیک,ažík,vi,to be born,1,اژیلی اژیکو بومبراکی کوسی۔,On the birth of a baby we congratulate each other.,
2,اݱَغال,aẓγál,n,wife (honorific),1,تہ ژاو اݱغالداری اریرا؟,Has your son gotten married?,
2,اݱَغال,aẓγál,n,wife (honorific),2,جم اݱغال موشو زِندگی۔,A good wife is a man's life.,
